Language,Video ID,Controversial Topics (LLM),Derogatory Words (LLM),Derogatory Words (dictionary),Person names,Transcript word count,Transcript unique word count,Transcript non-stopword count,Transcript unique non-stop word count,Derogatory words (dictionary) word count,Derogatory words (LLM) word count,Controversial topics (LLM) word count,Person names word count
bn,-PUpZlgFVlI,None,None,None,"[('আমার', 'hindu', 'male'), ('ভাই', 'hindu', 'male'), ('দিদি', 'hindu', 'female'), ('মা', 'hindu', 'female')]",36,23,9,7,None,None,None,"[('আমার', 'hindu', 'male', 1), ('ভাই', 'hindu', 'male', 1), ('দিদি', 'hindu', 'female', 1), ('মা', 'hindu', 'female', 5)]"
bn,-R6Iou8twaw,None,None,None,"[('నీ అభిలాషలో', 'hindu', 'male'), ('నేను', 'hindu', 'male'), ('నీ', 'hindu', 'male'), ('మాట్లాడుతున్నాను', 'hindu', 'male'), ('పరశురామ్', 'hindu', 'male'), ('స్నేహితుడు', 'hindu', 'male'), ('దుర్గాదాసు', 'hindu', 'male')]",16,15,5,5,None,None,None,"[('నీ అభిలాషలో', 'hindu', 'male', 1), ('నేను', 'hindu', 'male', 1), ('నీ', 'hindu', 'male', 1), ('మాట్లాడుతున్నాను', 'hindu', 'male', 1), ('పరశురామ్', 'hindu', 'male', 1), ('స్నేహితుడు', 'hindu', 'male', 1), ('దుర్గాదాసు', 'hindu', 'male', 1)]"
bn,-Y9oaa82Vxw,None,None,None,"[('বাবা', 'hindu', 'male'), ('জমিদার মশাই', 'hindu', 'male'), ('গোপাল ঠাকুর', 'hindu', 'male'), ('লোকনাথ', 'hindu', 'male'), ('মেয়ে', 'hindu', 'female'), ('শিব ঠাকুর', 'hindu', 'male'), ('বেটা', 'hindu', 'male'), ('অনুমা', 'hindu', 'female'), ('গিন্নি', 'hindu', 'female'), ('বড় কাকি', 'hindu', 'female'), ('হুজুর', 'muslim', 'male'), ('ঠাকুর', 'hindu', 'male')]",1626,596,855,475,None,None,None,"[('বাবা', 'hindu', 'male', 16), ('জমিদার মশাই', 'hindu', 'male', 1), ('গোপাল ঠাকুর', 'hindu', 'male', 2), ('লোকনাথ', 'hindu', 'male', 9), ('মেয়ে', 'hindu', 'female', 10), ('শিব ঠাকুর', 'hindu', 'male', 7), ('বেটা', 'hindu', 'male', 1), ('অনুমা', 'hindu', 'female', 2), ('গিন্নি', 'hindu', 'female', 1), ('বড় কাকি', 'hindu', 'female', 11), ('হুজুর', 'muslim', 'male', 2), ('ঠাকুর', 'hindu', 'male', 21)]"
bn,0B1QD63DzOc,None,None,দাস, ,1840,687,1077,565,"[('দাস', 3)]",None,None,[]
bn,0qUmRtgLuPY,None,None,সাদা, ,1649,656,888,512,"[('সাদা', 1)]",None,None,[]
bn,16tVnHedkGg,None,None,"দাসী, দাস","[('কন্টাক্টর', 'hindu', 'male'), ('বাবা', 'hindu', 'male'), ('ডাব', 'hindu', 'male'), ('পুলিশ', 'hindu', 'male'), ('মা', 'hindu', 'female'), ('অনিন্দ্য', 'hindu', 'male'), ('স্যার', 'hindu', 'male'), ('ড্রাইভার', 'hindu', 'male'), ('বোন', 'christian', 'female'), ('বিশাদ', 'hindu', 'male'), ('বন্ধু', 'hindu', 'male'), ('ময়না', 'hindu', 'female'), ('মালিক', 'muslim', 'male'), ('রাস্তার মানুষ', 'hindu', 'male')]",788,381,346,258,"[('দাসী', 1), ('দাস', 1)]",None,None,"[('কন্টাক্টর', 'hindu', 'male', 1), ('বাবা', 'hindu', 'male', 1), ('ডাব', 'hindu', 'male', 1), ('পুলিশ', 'hindu', 'male', 1), ('মা', 'hindu', 'female', 23), ('অনিন্দ্য', 'hindu', 'male', 1), ('স্যার', 'hindu', 'male', 1), ('ড্রাইভার', 'hindu', 'male', 1), ('বোন', 'christian', 'female', 1), ('বিশাদ', 'hindu', 'male', 1), ('বন্ধু', 'hindu', 'male', 1), ('ময়না', 'hindu', 'female', 2), ('মালিক', 'muslim', 'male', 1), ('রাস্তার মানুষ', 'hindu', 'male', 1)]"
bn,1D1zfJhAA5g,None,None,None,"[('সংকল্প ব্যানার্জি', 'hindu', 'male'), ('ঝিলম ব্যানার্জি', 'hindu', 'female'), ('প্রিয়ঙ্কা ব্যানার্জি', 'hindu', 'female'), ('মিতা ব্যানার্জি', 'hindu', 'female'), ('সুভাস ব্যানার্জি', 'hindu', 'male'), ('উদি ব্যানার্জি', 'hindu', 'male'), ('পুলিশ অফিসার', 'hindu', 'male'), ('শিলাই টেক্সটাইল', 'hindu', 'female'), ('কামালপুর', 'hindu', 'male'), ('প্রিয়ম ব্যানার্জি', 'hindu', 'male'), ('সপর্ণা ব্যানার্জি', 'hindu', 'female'), ('কোর্ট', 'hindu', 'male')]",1492,557,788,445,None,None,None,"[('সংকল্প ব্যানার্জি', 'hindu', 'male', 1), ('ঝিলম ব্যানার্জি', 'hindu', 'female', 1), ('প্রিয়ঙ্কা ব্যানার্জি', 'hindu', 'female', 1), ('মিতা ব্যানার্জি', 'hindu', 'female', 1), ('সুভাস ব্যানার্জি', 'hindu', 'male', 1), ('উদি ব্যানার্জি', 'hindu', 'male', 1), ('পুলিশ অফিসার', 'hindu', 'male', 1), ('শিলাই টেক্সটাইল', 'hindu', 'female', 1), ('কামালপুর', 'hindu', 'male', 3), ('প্রিয়ম ব্যানার্জি', 'hindu', 'male', 1), ('সপর্ণা ব্যানার্জি', 'hindu', 'female', 1), ('কোর্ট', 'hindu', 'male', 4)]"
bn,1E5RgstZOYo,None,সাবস্ট্যান্ডার্ড,None,"[('বাবা', 'hindu', 'male'), ('যুবরাজ সেনগুপ্ত', 'hindu', 'male'), ('দিদি', 'hindu', 'female'), ('অনন্যা', 'hindu', 'female'), ('মা', 'hindu', 'female'), ('অর্ঘ', 'hindu', 'male'), ('ধর্মশ্বরী', 'hindu', 'female'), ('মেজমা', 'hindu', 'female'), ('অভিমন্য', 'hindu', 'male'), ('জুজু', 'hindu', 'male')]",2148,756,1136,617,None,"[('সাবস্ট্যান্ডার্ড', 1)]",None,"[('বাবা', 'hindu', 'male', 3), ('যুবরাজ সেনগুপ্ত', 'hindu', 'male', 3), ('দিদি', 'hindu', 'female', 7), ('অনন্যা', 'hindu', 'female', 7), ('মা', 'hindu', 'female', 125), ('অর্ঘ', 'hindu', 'male', 1), ('ধর্মশ্বরী', 'hindu', 'female', 1), ('মেজমা', 'hindu', 'female', 3), ('অভিমন্য', 'hindu', 'male', 12), ('জুজু', 'hindu', 'male', 2)]"
bn,1iGvooeqWNA,None,None,None,"[('চেষ্ট', 'hindu', 'male'), ('আচছা', 'hindu', 'male'), ('বাসা', 'hindu', 'male'), ('একটা সুন্র', 'hindu', 'male'), ('থা', 'hindu', 'male'), ('আল্লাহ', 'muslim', 'male'), ('ডিজাইনার', 'hindu', 'male'), ('শিশ', 'hindu', 'male'), ('ছড় দেয় না', 'hindu', 'male'), ('আমি থকে', 'hindu', 'male'), ('চ', 'hindu', 'male'), ('জার', 'hindu', 'male'), ('আল', 'muslim', 'male'), ('আপনি', 'hindu', 'male'), ('সহজা', 'hindu', 'male'), ('আরো সময়', 'hindu', 'male'), ('কিু কোন না', 'hindu', 'male'), ('তবে', 'hindu', 'male'), ('তোদের', 'hindu', 'male'), ('সসতা', 'hindu', 'male'), ('হু', 'hindu', 'male'), ('প্রত্যেকটা জিসচার', 'hindu', 'male'), ('ারপ', 'hindu', 'male'), ('আরশ', 'hindu', 'male'), ('আমি', 'hindu', 'male')]",117,78,46,43,None,None,None,"[('চেষ্ট', 'hindu', 'male', 1), ('আচছা', 'hindu', 'male', 1), ('বাসা', 'hindu', 'male', 1), ('একটা সুন্র', 'hindu', 'male', 1), ('থা', 'hindu', 'male', 2), ('আল্লাহ', 'muslim', 'male', 1), ('ডিজাইনার', 'hindu', 'male', 1), ('শিশ', 'hindu', 'male', 1), ('ছড় দেয় না', 'hindu', 'male', 1), ('আমি থকে', 'hindu', 'male', 1), ('চ', 'hindu', 'male', 6), ('জার', 'hindu', 'male', 1), ('আল', 'muslim', 'male', 2), ('আপনি', 'hindu', 'male', 1), ('সহজা', 'hindu', 'male', 1), ('আরো সময়', 'hindu', 'male', 1), ('কিু কোন না', 'hindu', 'male', 1), ('তবে', 'hindu', 'male', 1), ('তোদের', 'hindu', 'male', 1), ('সসতা', 'hindu', 'male', 1), ('হু', 'hindu', 'male', 1), ('প্রত্যেকটা জিসচার', 'hindu', 'male', 1), ('ারপ', 'hindu', 'male', 1), ('আরশ', 'hindu', 'male', 1), ('আমি', 'hindu', 'male', 4)]"
bn,29yQ0kobcOM,None,None,None,"[('গোপাল', 'hindu', 'male'), ('কাকি', 'hindu', 'female'), ('কুরুদেব', 'hindu', 'male'), ('ধানুষ', 'hindu', 'male'), ('আয়ুষ', 'hindu', 'male'), ('গুরুদেব', 'hindu', 'male'), ('বাবা', 'hindu', 'male'), ('ইন্দু', 'hindu', 'female'), ('দিদি', 'hindu', 'female'), ('মা', 'hindu', 'female'), ('কুহেলি', 'hindu', 'female'), ('অ', 'hindu', 'male'), ('ইশান', 'hindu', 'male'), ('তিশা', 'hindu', 'female'), ('অু', 'hindu', 'male'), ('সাথী মা', 'hindu', 'female'), ('সাথী', 'hindu', 'female'), ('আয়ুষ দা', 'hindu', 'male'), ('দ্ধ', 'hindu', 'male'), ('ছোটকা', 'hindu', 'male')]",1116,433,607,330,None,None,None,"[('গোপাল', 'hindu', 'male', 3), ('কাকি', 'hindu', 'female', 3), ('কুরুদেব', 'hindu', 'male', 3), ('ধানুষ', 'hindu', 'male', 1), ('আয়ুষ', 'hindu', 'male', 8), ('গুরুদেব', 'hindu', 'male', 4), ('বাবা', 'hindu', 'male', 2), ('ইন্দু', 'hindu', 'female', 3), ('দিদি', 'hindu', 'female', 2), ('মা', 'hindu', 'female', 98), ('কুহেলি', 'hindu', 'female', 1), ('অ', 'hindu', 'male', 24), ('ইশান', 'hindu', 'male', 18), ('তিশা', 'hindu', 'female', 4), ('অু', 'hindu', 'male', 1), ('সাথী মা', 'hindu', 'female', 1), ('সাথী', 'hindu', 'female', 4), ('আয়ুষ দা', 'hindu', 'male', 2), ('দ্ধ', 'hindu', 'male', 2), ('ছোটকা', 'hindu', 'male', 2)]"
bn,2KUioip1wZ8,গায়ের রঙ,কালো,"সাদা, কালো","[('ছোট বৌদি', 'hindu', 'female'), ('বাবা', 'hindu', 'male'), ('পিসি', 'hindu', 'female'), ('দিদি', 'hindu', 'female'), ('বর', 'hindu', 'male'), ('টুম্পা', 'hindu', 'female'), ('বিবিসিকা', 'hindu', 'female'), ('মা', 'hindu', 'female'), ('ভাই', 'hindu', 'male'), ('মামা', 'hindu', 'male'), ('বড় বৌদি', 'hindu', 'female'), ('দাদা', 'hindu', 'male'), ('তোন্তো', 'hindu', 'male'), ('পান্ডে বাবু', 'hindu', 'male'), ('নিখিল', 'hindu', 'male')]",2142,743,1172,593,"[('সাদা', 2), ('কালো', 20)]","[('কালো', 20)]","[('গায়ের রঙ', 12)]","[('ছোট বৌদি', 'hindu', 'female', 4), ('বাবা', 'hindu', 'male', 11), ('পিসি', 'hindu', 'female', 1), ('দিদি', 'hindu', 'female', 1), ('বর', 'hindu', 'male', 6), ('টুম্পা', 'hindu', 'female', 8), ('বিবিসিকা', 'hindu', 'female', 1), ('মা', 'hindu', 'female', 98), ('ভাই', 'hindu', 'male', 1), ('মামা', 'hindu', 'male', 1), ('বড় বৌদি', 'hindu', 'female', 1), ('দাদা', 'hindu', 'male', 3), ('তোন্তো', 'hindu', 'male', 1), ('পান্ডে বাবু', 'hindu', 'male', 1), ('নিখিল', 'hindu', 'male', 1)]"
bn,2g9Yx4Niz8s,None,None,None,"[('বাবা', 'hindu', 'male'), ('আকাশ', 'hindu', 'male'), ('দিদিমা', 'hindu', 'female'), ('ছায়া', 'hindu', 'female'), ('তীর্থঙ্কর সেনগুপ্ত', 'hindu', 'male'), ('এলিনা', 'hindu', 'female'), ('মা', 'hindu', 'female'), ('আলো', 'hindu', 'male'), ('সুরবালা ঘোটে', 'hindu', 'female'), ('ঠাকুরমা', 'hindu', 'female'), ('বিম', 'hindu', 'male')]",2270,827,1283,683,None,None,None,"[('বাবা', 'hindu', 'male', 28), ('আকাশ', 'hindu', 'male', 20), ('দিদিমা', 'hindu', 'female', 1), ('ছায়া', 'hindu', 'female', 14), ('তীর্থঙ্কর সেনগুপ্ত', 'hindu', 'male', 1), ('এলিনা', 'hindu', 'female', 2), ('মা', 'hindu', 'female', 82), ('আলো', 'hindu', 'male', 11), ('সুরবালা ঘোটে', 'hindu', 'female', 1), ('ঠাকুরমা', 'hindu', 'female', 1), ('বিম', 'hindu', 'male', 1)]"
