video_key,video_id,program,year,lang,genre,channel,ats,rating,reach,male_faces,female_faces,young_faces,adult_faces,middle_aged_faces,old_faces,light_faces,medium_faces,dark_faces,faces
10,Ben_126,MOHOR,2020,BENGALI,DRAMA/SOAP,STAR Jalsha,58.06805708013172,3.22,5.55,11008,14378,359,18683,5909,435,19169,6043,174,25386
11,Ben_127,MOHOR,2020,BENGALI,DRAMA/SOAP,STAR Jalsha,58.06805708013172,3.22,5.55,8714,14137,53,13401,9154,243,19457,3302,92,22851
12,Ben_128,MOHOR,2020,BENGALI,DRAMA/SOAP,STAR Jalsha,58.06805708013172,3.22,5.55,13056,7068,8,15219,4897,0,13428,6580,116,20124
13,Ben_129,MOHOR,2020,BENGALI,DRAMA/SOAP,STAR Jalsha,58.06805708013172,3.22,5.55,7632,13153,28,14232,6525,0,14994,5330,461,20785
14,Ben_130,MOHOR,2020,BENGALI,DRAMA/SOAP,STAR Jalsha,58.06805708013172,3.22,5.55,12345,18112,531,28981,945,0,19427,9029,2001,30457
15,Ben_132,GANGARAM,2020,BENGALI,DRAMA/SOAP,STAR Jalsha,57.23025583982202,3.22,5.63,13898,12684,494,14145,9415,2528,18740,7121,721,26582
16,Ben_133,GANGARAM,2020,BENGALI,DRAMA/SOAP,STAR Jalsha,57.23025583982202,3.22,5.63,14425,15685,440,16299,11758,1613,24260,5207,643,30110
17,Ben_134,GANGARAM,2020,BENGALI,DRAMA/SOAP,STAR Jalsha,57.23025583982202,3.22,5.63,10793,7964,328,13124,4630,675,14920,3372,465,18757
18,Ben_135,GANGARAM,2020,BENGALI,DRAMA/SOAP,STAR Jalsha,57.23025583982202,3.22,5.63,12392,14679,401,16860,8496,1314,17301,7076,2694,27071
19,Ben_146,BHAGGOLOKKHI,2020,BENGALI,DRAMA/SOAP,STAR Jalsha,54.983012457531146,2.96,5.39,18512,27640,1372,37869,6850,61,43462,2530,160,46152
20,Ben_147,BHAGGOLOKKHI,2020,BENGALI,DRAMA/SOAP,STAR Jalsha,54.983012457531146,2.96,5.39,17872,22344,903,36622,2691,0,38705,1446,65,40216
21,Ben_148,BHAGGOLOKKHI,2020,BENGALI,DRAMA/SOAP,STAR Jalsha,54.983012457531146,2.96,5.39,11742,14709,163,25116,1172,0,23752,2312,387,26451
22,Ben_149,BHAGGOLOKKHI,2020,BENGALI,DRAMA/SOAP,STAR Jalsha,54.983012457531146,2.96,5.39,10545,15333,163,25401,314,0,24139,1698,41,25878
23,Ben_150,BHAGGOLOKKHI,2020,BENGALI,DRAMA/SOAP,STAR Jalsha,54.983012457531146,2.96,5.39,10434,14674,133,23822,1136,17,23481,1601,26,25108
24,Ben_121,SANJHER BAATI,2020,BENGALI,DRAMA/SOAP,STAR Jalsha,54.65768799102133,3.3,6.03,4876,16483,1403,18853,1101,2,19335,1843,181,21359
25,Ben_122,SANJHER BAATI,2020,BENGALI,DRAMA/SOAP,STAR Jalsha,54.65768799102133,3.3,6.03,9071,15305,2493,19711,2171,1,21273,3038,65,24376
26,Ben_123,SANJHER BAATI,2020,BENGALI,DRAMA/SOAP,STAR Jalsha,54.65768799102133,3.3,6.03,5224,11806,160,16794,76,0,13385,3566,79,17030
27,Ben_124,SANJHER BAATI,2020,BENGALI,DRAMA/SOAP,STAR Jalsha,54.65768799102133,3.3,6.03,5272,14915,2009,17569,609,0,18574,1602,11,20187
28,Ben_125,SANJHER BAATI,2020,BENGALI,DRAMA/SOAP,STAR Jalsha,54.65768799102133,3.3,6.03,6298,15022,2088,19005,227,0,19802,1474,44,21320
29,Ben_176,GAATCHORA,2021,BENGALI,DRAMA/SOAP,STAR Jalsha,55.563093622795115,3.8,6.84,6381,20814,482,19421,7018,274,22103,4960,132,27195
30,Ben_177,GAATCHORA,2021,BENGALI,DRAMA/SOAP,STAR Jalsha,55.563093622795115,3.8,6.84,6250,15221,184,16906,4093,288,18461,2928,82,21471
31,Ben_178,GAATCHORA,2021,BENGALI,DRAMA/SOAP,STAR Jalsha,55.563093622795115,3.8,6.84,5158,14629,527,15007,4030,223,16722,2900,165,19787
32,Ben_179,GAATCHORA,2021,BENGALI,DRAMA/SOAP,STAR Jalsha,55.563093622795115,3.8,6.84,8477,16764,1124,15068,8772,277,22092,2957,192,25241
33,Ben_180,GAATCHORA,2021,BENGALI,DRAMA/SOAP,STAR Jalsha,55.563093622795115,3.8,6.84,10302,20230,691,15207,13046,1588,28464,2016,52,30532
34,Ben_196,DHULOKONA,2021,BENGALI,DRAMA/SOAP,STAR Jalsha,54.80288728484175,3.3,6.02,12353,19891,581,19418,10738,1507,28407,3657,180,32244
35,Ben_197,DHULOKONA,2021,BENGALI,DRAMA/SOAP,STAR Jalsha,54.80288728484175,3.3,6.02,13419,20879,779,21492,11289,738,31841,2241,216,34298
36,Ben_198,DHULOKONA,2021,BENGALI,DRAMA/SOAP,STAR Jalsha,54.80288728484175,3.3,6.02,12477,16083,470,19194,8082,814,25790,2571,199,28560
37,Ben_199,DHULOKONA,2021,BENGALI,DRAMA/SOAP,STAR Jalsha,54.80288728484175,3.3,6.02,4906,22380,722,22042,3897,625,25214,2033,39,27286
38,Ben_200,DHULOKONA,2021,BENGALI,DRAMA/SOAP,STAR Jalsha,54.80288728484175,3.3,6.02,5327,26881,1267,23573,6345,1023,30222,1582,404,32208
39,Ben_201,MON PHAGUN,2022,BENGALI,DRAMA/SOAP,STAR Jalsha,61.780973451327434,3.6,5.83,12939,19754,841,31431,421,0,28852,3825,16,32693
40,Ben_202,MON PHAGUN,2022,BENGALI,DRAMA/SOAP,STAR Jalsha,61.780973451327434,3.6,5.83,12792,13331,643,25143,329,8,21695,4235,193,26123
41,Ben_203,MON PHAGUN,2022,BENGALI,DRAMA/SOAP,STAR Jalsha,61.780973451327434,3.6,5.83,12778,10439,456,20843,1918,0,20134,2848,235,23217
42,Ben_204,MON PHAGUN,2022,BENGALI,DRAMA/SOAP,STAR Jalsha,61.780973451327434,3.6,5.83,13843,12823,1738,24142,786,0,20841,5650,175,26666
43,Ben_205,MON PHAGUN,2022,BENGALI,DRAMA/SOAP,STAR Jalsha,61.780973451327434,3.6,5.83,9341,12716,672,21131,254,0,18253,3534,270,22057
44,Hind_121,Baba Aiso Varr Dhoondo,2020,HINDI,DRAMA/SOAP,Dangal,51.876019575856446,1.08,2.08,5900,7372,954,10393,1923,2,9665,3348,259,13272
45,Hind_122,Baba Aiso Varr Dhoondo,2020,HINDI,DRAMA/SOAP,Dangal,51.876019575856446,1.08,2.08,4800,6872,897,10687,88,0,5749,3211,2712,11672
46,Hind_123,Baba Aiso Varr Dhoondo,2020,HINDI,DRAMA/SOAP,Dangal,51.876019575856446,1.08,2.08,1422,10428,2332,8548,970,0,6868,4546,436,11850
47,Hind_124,Baba Aiso Varr Dhoondo,2020,HINDI,DRAMA/SOAP,Dangal,51.876019575856446,1.08,2.08,3168,7721,965,9719,205,0,7633,2377,879,10889
48,Hind_125,Baba Aiso Varr Dhoondo,2020,HINDI,DRAMA/SOAP,Dangal,51.876019575856446,1.08,2.08,4025,8376,1520,9747,1134,0,8347,3958,96,12401
49,Hind_156,SAATH NIBHAANA SAATHIYA 2,2021,HINDI,DRAMA/SOAP,STAR Plus,48.44517184942717,0.95,1.96,4110,12560,22,12379,4268,1,14088,2522,60,16670
50,Hind_157,SAATH NIBHAANA SAATHIYA 2,2021,HINDI,DRAMA/SOAP,STAR Plus,48.44517184942717,0.95,1.96,5679,9283,49,11641,3255,17,13063,1865,34,14962
51,Hind_158,SAATH NIBHAANA SAATHIYA 2,2021,HINDI,DRAMA/SOAP,STAR Plus,48.44517184942717,0.95,1.96,6199,11191,57,12637,4695,1,12723,4571,96,17390
52,Hind_159,SAATH NIBHAANA SAATHIYA 2,2021,HINDI,DRAMA/SOAP,STAR Plus,48.44517184942717,0.95,1.96,8980,16159,222,20277,4637,3,22191,2791,157,25139
53,Hind_160,SAATH NIBHAANA SAATHIYA 2,2021,HINDI,DRAMA/SOAP,STAR Plus,48.44517184942717,0.95,1.96,3305,12001,81,9695,5530,0,12763,2518,25,15306
54,Hind_171,SHAADI MUBARAK,2021,HINDI,DRAMA/SOAP,STAR Plus,45.68868980963046,0.87,1.91,5176,10395,899,13101,1571,0,11395,4126,50,15571
55,Hind_172,SHAADI MUBARAK,2021,HINDI,DRAMA/SOAP,STAR Plus,45.68868980963046,0.87,1.91,4766,9701,1187,11428,1852,0,11186,3241,40,14467
56,Hind_173,SHAADI MUBARAK,2021,HINDI,DRAMA/SOAP,STAR Plus,45.68868980963046,0.87,1.91,7077,8732,938,11788,3069,14,12911,2870,28,15809
57,Hind_174,SHAADI MUBARAK,2021,HINDI,DRAMA/SOAP,STAR Plus,45.68868980963046,0.87,1.91,3739,9476,2860,7846,2499,10,10737,1819,659,13215
58,Hind_175,SHAADI MUBARAK,2021,HINDI,DRAMA/SOAP,STAR Plus,45.68868980963046,0.87,1.91,3398,10998,3134,8261,2998,3,11985,1565,846,14396
59,Hind_196,IMLIE,2021,HINDI,DRAMA/SOAP,STAR Plus,50.355385456533625,0.75,1.49,9293,14603,1603,19314,2978,1,19884,3971,41,23896
60,Hind_197,IMLIE,2021,HINDI,DRAMA/SOAP,STAR Plus,50.355385456533625,0.75,1.49,8544,12355,964,15559,4353,23,17585,3062,252,20899
61,Hind_198,IMLIE,2021,HINDI,DRAMA/SOAP,STAR Plus,50.355385456533625,0.75,1.49,5785,9389,498,11758,2913,5,10513,4458,203,15174
62,Hind_199,IMLIE,2021,HINDI,DRAMA/SOAP,STAR Plus,50.355385456533625,0.75,1.49,5841,13169,1555,14742,2707,6,14280,4656,74,19010
63,Hind_200,IMLIE,2021,HINDI,DRAMA/SOAP,STAR Plus,50.355385456533625,0.75,1.49,11302,14280,2286,20784,2512,0,18028,7404,150,25582
64,Hind_206,YEH HAI CHAHATEIN,2022,HINDI,DRAMA/SOAP,STAR Plus,58.20484581497797,1.19,2.04,7528,10334,1343,13893,2596,30,11000,6701,161,17862
65,Hind_207,YEH HAI CHAHATEIN,2022,HINDI,DRAMA/SOAP,STAR Plus,58.20484581497797,1.19,2.04,8093,6681,734,11569,2448,23,7238,7029,507,14774
66,Hind_208,YEH HAI CHAHATEIN,2022,HINDI,DRAMA/SOAP,STAR Plus,58.20484581497797,1.19,2.04,8256,8171,1713,13817,897,0,9716,4916,1795,16427
67,Hind_209,YEH HAI CHAHATEIN,2022,HINDI,DRAMA/SOAP,STAR Plus,58.20484581497797,1.19,2.04,7811,9349,196,13845,3105,14,9375,7614,171,17160
68,Hind_210,YEH HAI CHAHATEIN,2022,HINDI,DRAMA/SOAP,STAR Plus,58.20484581497797,1.19,2.04,11021,5712,118,13942,2619,54,9225,7398,110,16733
69,Hind_216,SAATH NIBHAANA SAATHIYA 2,2022,HINDI,DRAMA/SOAP,STAR Plus,48.812810601877416,0.91,1.86,13004,21019,1268,25600,7104,51,30245,3623,155,34023
70,Hind_217,SAATH NIBHAANA SAATHIYA 2,2022,HINDI,DRAMA/SOAP,STAR Plus,48.812810601877416,0.91,1.86,9239,10653,700,16643,2546,3,16441,3251,200,19892
71,Hind_218,SAATH NIBHAANA SAATHIYA 2,2022,HINDI,DRAMA/SOAP,STAR Plus,48.812810601877416,0.91,1.86,8630,12334,1090,16673,3176,25,18371,2502,91,20964
72,Hind_219,SAATH NIBHAANA SAATHIYA 2,2022,HINDI,DRAMA/SOAP,STAR Plus,48.812810601877416,0.91,1.86,5358,9865,382,12026,2789,26,12911,2279,33,15223
73,Hind_220,SAATH NIBHAANA SAATHIYA 2,2022,HINDI,DRAMA/SOAP,STAR Plus,48.812810601877416,0.91,1.86,6427,9802,289,13614,2320,6,13869,2238,122,16229
74,Hind_226,ANUPAMAA,2022,HINDI,DRAMA/SOAP,STAR Plus,58.584169453734674,0.61,1.04,7979,10946,758,16026,1774,367,15005,3875,45,18925
75,Hind_227,ANUPAMAA,2022,HINDI,DRAMA/SOAP,STAR Plus,58.584169453734674,0.61,1.04,11327,13073,1606,17363,3582,1849,18463,5898,39,24400
76,Hind_228,ANUPAMAA,2022,HINDI,DRAMA/SOAP,STAR Plus,58.584169453734674,0.61,1.04,10044,8826,1026,14059,2788,997,11628,7045,197,18870
77,Hind_229,ANUPAMAA,2022,HINDI,DRAMA/SOAP,STAR Plus,58.584169453734674,0.61,1.04,9321,9332,3341,12949,1593,770,14782,3321,550,18653
78,Hind_230,ANUPAMAA,2022,HINDI,DRAMA/SOAP,STAR Plus,58.584169453734674,0.61,1.04,11396,13391,4169,17897,2200,521,20586,3739,462,24787
79,Hind_231,PANDYA STORE,2022,HINDI,DRAMA/SOAP,STAR Plus,49.503311258278146,0.6,1.22,11954,11873,114,22189,1524,0,18972,4772,83,23827
80,Hind_232,PANDYA STORE,2022,HINDI,DRAMA/SOAP,STAR Plus,49.503311258278146,0.6,1.22,11592,8200,111,18343,1338,0,15372,4349,71,19792
81,Hind_233,PANDYA STORE,2022,HINDI,DRAMA/SOAP,STAR Plus,49.503311258278146,0.6,1.22,11942,9337,128,20724,427,0,18456,2770,53,21279
82,Hind_234,PANDYA STORE,2022,HINDI,DRAMA/SOAP,STAR Plus,49.503311258278146,0.6,1.22,10796,11088,97,18278,3509,0,17489,4383,12,21884
83,Hind_235,PANDYA STORE,2022,HINDI,DRAMA/SOAP,STAR Plus,49.503311258278146,0.6,1.22,16809,13017,265,25571,3990,0,26414,3291,121,29826
84,Hind_236,BANNI CHOW HOME DELIVERY,2022,HINDI,DRAMA/SOAP,STAR Plus,48.23848238482385,0.58,1.21,13645,9804,609,19018,3590,232,18424,4937,88,23449
85,Hind_237,BANNI CHOW HOME DELIVERY,2022,HINDI,DRAMA/SOAP,STAR Plus,48.23848238482385,0.58,1.21,9808,11013,480,17578,2097,666,13669,6773,379,20821
86,Hind_238,BANNI CHOW HOME DELIVERY,2022,HINDI,DRAMA/SOAP,STAR Plus,48.23848238482385,0.58,1.21,11858,8915,372,16951,3077,373,13688,6273,812,20773
87,Hind_239,BANNI CHOW HOME DELIVERY,2022,HINDI,DRAMA/SOAP,STAR Plus,48.23848238482385,0.58,1.21,10136,12304,335,18876,2432,797,15229,6663,548,22440
88,Hind_240,BANNI CHOW HOME DELIVERY,2022,HINDI,DRAMA/SOAP,STAR Plus,48.23848238482385,0.58,1.21,8010,8458,268,14821,701,678,7371,7948,1149,16468
89,Hind_245,ZINDAGI MERE GHAR AANA,2022,HINDI,DRAMA/SOAP,STAR Plus,47.181171319102354,0.58,1.22,10933,10295,132,14867,4452,1777,16437,4143,648,21228
90,Tam_116,PANDIAN STORES,2020,TAMIL,DRAMA/SOAP,STAR Vijay,38.38986209467014,9.02,23.49,15401,15831,1755,20805,8497,175,23226,6798,1208,31232
91,Tam_117,PANDIAN STORES,2020,TAMIL,DRAMA/SOAP,STAR Vijay,38.38986209467014,9.02,23.49,7896,12255,737,16609,2763,42,12301,7159,691,20151
92,Tam_118,PANDIAN STORES,2020,TAMIL,DRAMA/SOAP,STAR Vijay,38.38986209467014,9.02,23.49,9265,6714,650,10490,4838,1,7140,7777,1062,15979
93,Tam_119,PANDIAN STORES,2020,TAMIL,DRAMA/SOAP,STAR Vijay,38.38986209467014,9.02,23.49,9169,8349,100,15533,1885,0,9648,7297,573,17518
94,Tam_120,PANDIAN STORES,2020,TAMIL,DRAMA/SOAP,STAR Vijay,38.38986209467014,9.02,23.49,9751,11464,149,18248,2053,765,12573,8172,470,21215
95,Tam_231,PANDIAN STORES,2022,TAMIL,DRAMA/SOAP,STAR Vijay,50.0,5.23,10.47,2786,12346,185,14681,266,0,6173,8745,214,15132
96,Tam_232,PANDIAN STORES,2022,TAMIL,DRAMA/SOAP,STAR Vijay,50.0,5.23,10.47,2805,15167,412,15244,2304,12,8995,8391,586,17972
97,Tam_233,PANDIAN STORES,2022,TAMIL,DRAMA/SOAP,STAR Vijay,50.0,5.23,10.47,7721,11821,1037,15473,3032,0,9717,8022,1803,19542
98,Tam_234,PANDIAN STORES,2022,TAMIL,DRAMA/SOAP,STAR Vijay,50.0,5.23,10.47,9559,7158,82,12065,4568,2,8316,7461,940,16717
99,Tam_235,PANDIAN STORES,2022,TAMIL,DRAMA/SOAP,STAR Vijay,50.0,5.23,10.47,11544,12101,67,20881,2605,92,14029,7741,1875,23645
100,Tam_236,Baakiyalakshmi,2022,TAMIL,DRAMA/SOAP,STAR Vijay,59.93520518358531,4.91,8.19,4592,15326,1116,12108,6694,0,12092,6980,846,19918
101,Tam_237,Baakiyalakshmi,2022,TAMIL,DRAMA/SOAP,STAR Vijay,59.93520518358531,4.91,8.19,6693,12631,98,13223,5999,4,11463,7367,494,19324
102,Tam_238,Baakiyalakshmi,2022,TAMIL,DRAMA/SOAP,STAR Vijay,59.93520518358531,4.91,8.19,7646,14975,989,16165,5467,0,13216,9127,278,22621
103,Tam_239,Baakiyalakshmi,2022,TAMIL,DRAMA/SOAP,STAR Vijay,59.93520518358531,4.91,8.19,6132,9516,68,13947,1633,0,6080,9237,331,15648
104,Tam_240,Baakiyalakshmi,2022,TAMIL,DRAMA/SOAP,STAR Vijay,59.93520518358531,4.91,8.19,12173,6956,714,9869,8546,0,8867,7890,2372,19129
105,Tam_246,BHARATHI KANNAMMA,2022,TAMIL,DRAMA/SOAP,STAR Vijay,58.34272829763247,4.57,7.84,8409,7816,1366,13690,1169,0,4157,11560,508,16225
106,Tam_247,BHARATHI KANNAMMA,2022,TAMIL,DRAMA/SOAP,STAR Vijay,58.34272829763247,4.57,7.84,11245,16172,1424,21986,3745,262,13648,11235,2534,27417
107,Tam_248,BHARATHI KANNAMMA,2022,TAMIL,DRAMA/SOAP,STAR Vijay,58.34272829763247,4.57,7.84,8722,14732,319,19101,4016,18,13200,9429,825,23454
108,Tam_249,BHARATHI KANNAMMA,2022,TAMIL,DRAMA/SOAP,STAR Vijay,58.34272829763247,4.57,7.84,9885,12500,2026,14840,5068,451,8298,11576,2511,22385
109,Tam_250,BHARATHI KANNAMMA,2022,TAMIL,DRAMA/SOAP,STAR Vijay,58.34272829763247,4.57,7.84,25445,12587,894,20331,16240,567,19998,12106,5928,38032
110,Tel_51,KARTHIKA DEEPAM,2019,TELUGU,DRAMA/SOAP,STAR Maa,66.99507389162562,6.71,10.01,4167,11868,2511,11998,1525,1,9452,6456,127,16035
111,Tel_52,KARTHIKA DEEPAM,2019,TELUGU,DRAMA/SOAP,STAR Maa,66.99507389162562,6.71,10.01,4058,14994,6606,12273,173,0,9977,8620,455,19052
112,Tel_53,KARTHIKA DEEPAM,2019,TELUGU,DRAMA/SOAP,STAR Maa,66.99507389162562,6.71,10.01,1866,17638,5384,13944,176,0,11782,7576,146,19504
113,Tel_54,KARTHIKA DEEPAM,2019,TELUGU,DRAMA/SOAP,STAR Maa,66.99507389162562,6.71,10.01,4543,16166,3614,14835,2260,0,15724,4780,205,20709
114,Tel_55,KARTHIKA DEEPAM,2019,TELUGU,DRAMA/SOAP,STAR Maa,66.99507389162562,6.71,10.01,4636,11806,4051,9993,2397,1,11496,4740,206,16442
115,Tel_106,KARTHIKA DEEPAM,2020,TELUGU,DRAMA/SOAP,STAR Maa,68.11846689895471,8.51,12.5,7460,10043,3999,12191,1312,1,9838,6693,972,17503
116,Tel_107,KARTHIKA DEEPAM,2020,TELUGU,DRAMA/SOAP,STAR Maa,68.11846689895471,8.51,12.5,6934,9556,2999,12240,1249,2,8423,7396,671,16490
117,Tel_108,KARTHIKA DEEPAM,2020,TELUGU,DRAMA/SOAP,STAR Maa,68.11846689895471,8.51,12.5,7226,7881,2431,11060,1616,0,7980,6552,575,15107
118,Tel_109,KARTHIKA DEEPAM,2020,TELUGU,DRAMA/SOAP,STAR Maa,68.11846689895471,8.51,12.5,5384,10515,2233,12032,1634,0,7240,8208,451,15899
119,Tel_110,KARTHIKA DEEPAM,2020,TELUGU,DRAMA/SOAP,STAR Maa,68.11846689895471,8.51,12.5,5059,10265,3042,9660,1644,978,6280,8371,673,15324
120,Tel_111,GUPPEDANTHA MANASU,2020,TELUGU,DRAMA/SOAP,STAR Maa,50.46677649643053,8.27,16.38,6651,11149,453,15412,1933,2,11031,6282,487,17800
121,Tel_112,GUPPEDANTHA MANASU,2020,TELUGU,DRAMA/SOAP,STAR Maa,50.46677649643053,8.27,16.38,10061,10650,316,15468,4927,0,14096,6157,458,20711
122,Tel_113,GUPPEDANTHA MANASU,2020,TELUGU,DRAMA/SOAP,STAR Maa,50.46677649643053,8.27,16.38,13858,22544,2420,26065,7893,24,28603,7286,513,36402
123,Tel_114,GUPPEDANTHA MANASU,2020,TELUGU,DRAMA/SOAP,STAR Maa,50.46677649643053,8.27,16.38,8720,14871,773,16538,6280,0,15547,7991,53,23591
124,Tel_115,GUPPEDANTHA MANASU,2020,TELUGU,DRAMA/SOAP,STAR Maa,50.46677649643053,8.27,16.38,6766,15634,1120,16763,4471,46,13677,8566,157,22400
125,Tel_116,INTINTI GRUHALAKSHMI,2020,TELUGU,DRAMA/SOAP,STAR Maa,55.970982142857146,8.2,14.66,7361,10622,827,13573,3531,52,12139,5746,98,17983
126,Tel_117,INTINTI GRUHALAKSHMI,2020,TELUGU,DRAMA/SOAP,STAR Maa,55.970982142857146,8.2,14.66,9168,17085,1858,18087,4882,1426,22368,3683,202,26253
127,Tel_118,INTINTI GRUHALAKSHMI,2020,TELUGU,DRAMA/SOAP,STAR Maa,55.970982142857146,8.2,14.66,8697,11469,191,15054,2874,2047,13817,6287,62,20166
128,Tel_119,INTINTI GRUHALAKSHMI,2020,TELUGU,DRAMA/SOAP,STAR Maa,55.970982142857146,8.2,14.66,8378,12641,165,13292,6990,572,14347,6562,110,21019
129,Tel_120,INTINTI GRUHALAKSHMI,2020,TELUGU,DRAMA/SOAP,STAR Maa,55.970982142857146,8.2,14.66,11639,17393,1155,22371,4721,785,23308,5671,53,29032
130,Tel_121,CHELLELI KAPURAM,2020,TELUGU,DRAMA/SOAP,STAR Maa,53.65448504983389,6.23,11.61,5620,12082,240,16028,1434,0,13674,3682,346,17702
131,Tel_122,CHELLELI KAPURAM,2020,TELUGU,DRAMA/SOAP,STAR Maa,53.65448504983389,6.23,11.61,6419,14624,390,18372,2175,106,16163,4153,727,21043
132,Tel_123,CHELLELI KAPURAM,2020,TELUGU,DRAMA/SOAP,STAR Maa,53.65448504983389,6.23,11.61,4843,11905,620,14693,1433,2,14691,1830,227,16748
133,Tel_124,CHELLELI KAPURAM,2020,TELUGU,DRAMA/SOAP,STAR Maa,53.65448504983389,6.23,11.61,6405,9762,629,13677,1641,220,12261,3293,613,16167
134,Tel_125,CHELLELI KAPURAM,2020,TELUGU,DRAMA/SOAP,STAR Maa,53.65448504983389,6.23,11.61,6090,10823,467,14118,1406,922,14631,1819,463,16913
135,Tel_146,VADINAMMA,2020,TELUGU,DRAMA/SOAP,STAR Maa,55.03875968992248,5.65,10.27,6160,14291,1327,16103,3021,0,12047,8327,77,20451
136,Tel_147,VADINAMMA,2020,TELUGU,DRAMA/SOAP,STAR Maa,55.03875968992248,5.65,10.27,8516,11503,379,13704,5936,0,9164,10567,288,20019
137,Tel_148,VADINAMMA,2020,TELUGU,DRAMA/SOAP,STAR Maa,55.03875968992248,5.65,10.27,10897,9458,2142,12646,5343,224,11494,8477,384,20355
138,Tel_149,VADINAMMA,2020,TELUGU,DRAMA/SOAP,STAR Maa,55.03875968992248,5.65,10.27,8540,15792,2810,18208,3307,7,14080,9892,360,24332
139,Tel_150,VADINAMMA,2020,TELUGU,DRAMA/SOAP,STAR Maa,55.03875968992248,5.65,10.27,11494,15497,1780,19573,5390,248,17354,9389,248,26991
140,Tel_151,KARTHIKA DEEPAM,2021,TELUGU,DRAMA/SOAP,STAR Maa,70.53620784964069,15.05,21.32,6043,13195,1910,15807,1472,49,10074,8496,668,19238
141,Tel_152,KARTHIKA DEEPAM,2021,TELUGU,DRAMA/SOAP,STAR Maa,70.53620784964069,15.05,21.32,10265,13031,1016,19056,3224,0,13772,7516,2008,23296
142,Tel_153,KARTHIKA DEEPAM,2021,TELUGU,DRAMA/SOAP,STAR Maa,70.53620784964069,15.05,21.32,9832,15140,1330,21590,2052,0,16561,8171,240,24972
143,Tel_154,KARTHIKA DEEPAM,2021,TELUGU,DRAMA/SOAP,STAR Maa,70.53620784964069,15.05,21.32,7055,14384,956,18799,1674,10,13141,8049,249,21439
144,Tel_155,KARTHIKA DEEPAM,2021,TELUGU,DRAMA/SOAP,STAR Maa,70.53620784964069,15.05,21.32,9541,14903,790,21667,1986,1,16748,7264,432,24444
145,Tel_191,JANAKI KALAGANALEDU,2021,TELUGU,DRAMA/SOAP,STAR Maa,58.45383759733037,6.11,10.45,8349,11398,163,17668,1916,0,13200,6308,239,19747
146,Tel_192,JANAKI KALAGANALEDU,2021,TELUGU,DRAMA/SOAP,STAR Maa,58.45383759733037,6.11,10.45,10104,12339,874,19815,1754,0,16236,5920,287,22443
147,Tel_193,JANAKI KALAGANALEDU,2021,TELUGU,DRAMA/SOAP,STAR Maa,58.45383759733037,6.11,10.45,5072,12476,725,15573,1250,0,10697,6627,224,17548
148,Tel_194,JANAKI KALAGANALEDU,2021,TELUGU,DRAMA/SOAP,STAR Maa,58.45383759733037,6.11,10.45,7530,15312,1272,20328,1242,0,14694,7386,762,22842
149,Tel_195,JANAKI KALAGANALEDU,2021,TELUGU,DRAMA/SOAP,STAR Maa,58.45383759733037,6.11,10.45,8975,11020,187,17228,2580,0,13170,6328,497,19995
150,Tel_201,KARTHIKA DEEPAM,2022,TELUGU,DRAMA/SOAP,STAR Maa,64.84375,11.78,18.17,6014,10414,478,13436,2514,0,4748,11074,606,16428
151,Tel_202,KARTHIKA DEEPAM,2022,TELUGU,DRAMA/SOAP,STAR Maa,64.84375,11.78,18.17,6122,11045,393,14171,2603,0,9492,7647,28,17167
